x;y
100;1.09666
600;0.959574
1100;1.02188
1600;1.0067
2100;1.02485
2600;1.04393
3100;1.02369
3600;0.986229
4100;0.987994
4600;0.981925
5100;0.973014
5600;0.982829
6100;0.988788
6600;1.00215
7100;0.995293
7600;1.00016
8100;0.986652
8600;0.979499
9100;0.980664
9600;0.977423
10100;0.979933
10600;0.982852
11100;0.990449
11600;0.984391
12100;0.978267
12600;0.978613
13100;0.970562
13600;0.966126
14100;0.972213
14600;0.974597
15100;0.972284
15600;0.970119
16100;0.966812
16600;0.968245
17100;0.964384
17600;0.96269
18100;0.962225
18600;0.956258
19100;0.955986
19600;0.954329
20100;0.959233
20600;0.960905
21100;0.9573
21600;0.956084
22100;0.956473
22600;0.957451
23100;0.962541
23600;0.964802
24100;0.964978
24600;0.967097
25100;0.96804
25600;0.967339
26100;0.969291
26600;0.968335
27100;0.968932
27600;0.967769
28100;0.96738
28600;0.971317
29100;0.969702
29600;0.972773
30100;0.971188
30600;0.97167
31100;0.973018
31600;0.974107
32100;0.971745
32600;0.970087
33100;0.965579
33600;0.96651
34100;0.967011
34600;0.96314
35100;0.95977
35600;0.957841
36100;0.955967
36600;0.956578
37100;0.957727
37600;0.95684
38100;0.958315
38600;0.958686
39100;0.95677
39600;0.957843
40100;0.95701
40600;0.955691
41100;0.953571
41600;0.954796
42100;0.95469
42600;0.953782
43100;0.953213
43600;0.952814
44100;0.953513
44600;0.953734
45100;0.953039
45600;0.95251
46100;0.952438
46600;0.953544
47100;0.952298
47600;0.954103
48100;0.954444
48600;0.955907
49100;0.956364
49600;0.956534
50100;0.957796
50600;0.956188
51100;0.955014
51600;0.955324
52100;0.95497
52600;0.953189
53100;0.954024
53600;0.953692
54100;0.953113
54600;0.9538
55100;0.953355
55600;0.951931
56100;0.953221
56600;0.951824
57100;0.952972
57600;0.952673
58100;0.95403
58600;0.953141
59100;0.953776
59600;0.954859
60100;0.956951
60600;0.956634
61100;0.957219
61600;0.958795
62100;0.957588
62600;0.956618
63100;0.957402
63600;0.95688
64100;0.956366
64600;0.955755
65100;0.955784
65600;0.956753
66100;0.957811
66600;0.958031
67100;0.957429
67600;0.956228
68100;0.95585
68600;0.955278
69100;0.955607
69600;0.956029
70100;0.955859
70600;0.956371
71100;0.956682
71600;0.957373
72100;0.957388
72600;0.957214
73100;0.957605
73600;0.957898
74100;0.957817
74600;0.957737
75100;0.95638
75600;0.956764
76100;0.956332
76600;0.956621
77100;0.955485
77600;0.954981
78100;0.955274
78600;0.954865
79100;0.954895
79600;0.953805
80100;0.953157
80600;0.953281
81100;0.952729
81600;0.951931
82100;0.94989
82600;0.949949
83100;0.949099
83600;0.948916
84100;0.948001
84600;0.946692
85100;0.945721
85600;0.945081
86100;0.944768
86600;0.945565
87100;0.946275
87600;0.947134
88100;0.947515
88600;0.947661
89100;0.947497
89600;0.947258
90100;0.946566
90600;0.946713
91100;0.946182
91600;0.946106
92100;0.946327
92600;0.945807
93100;0.945586
93600;0.945222
94100;0.945516
94600;0.944576
95100;0.945016
95600;0.945379
96100;0.945666
96600;0.945313
97100;0.945457
97600;0.94581
98100;0.947417
98600;0.947618
99100;0.94754
99600;0.946912
