x;y
100;16.1076
600;1.59416
1100;8.19118
1600;6.58316
2100;8.50532
2600;10.5255
3100;8.38271
3600;4.41622
4100;4.60304
4600;3.96048
5100;3.01704
5600;4.05626
6100;4.68719
6600;6.10212
7100;5.37583
7600;5.8909
8100;4.46101
8600;3.70367
9100;3.827
9600;3.48393
10100;3.74962
10600;4.05871
11100;4.86295
11600;4.22159
12100;3.57326
12600;3.60991
13100;2.75745
13600;2.28781
14100;2.93228
14600;3.18467
15100;2.93978
15600;2.71058
16100;2.3604
16600;2.51218
17100;2.1034
17600;1.92401
18100;1.8748
18600;1.24303
19100;1.21422
19600;1.0388
20100;1.55805
20600;1.73506
21100;1.35341
21600;1.2246
22100;1.2658
22600;1.36939
23100;1.9083
23600;2.14764
24100;2.16626
24600;2.39063
25100;2.49041
25600;2.41621
26100;2.62289
26600;2.52171
27100;2.58493
27600;2.46181
28100;2.42055
28600;2.83744
29100;2.66646
29600;2.99157
30100;2.8237
30600;2.87476
31100;3.0175
31600;3.13277
32100;2.88273
32600;2.70715
33100;2.22994
33600;2.32847
34100;2.38154
34600;1.97167
35100;1.61483
35600;1.4107
36100;1.21222
36600;1.27692
37100;1.39856
37600;1.30466
38100;1.46083
38600;1.50016
39100;1.29721
39600;1.41091
40100;1.32271
40600;1.18306
41100;0.958532
41600;1.08828
42100;1.07705
42600;0.980913
43100;0.920679
43600;0.878471
44100;0.952406
44600;0.975871
45100;0.902274
45600;0.846205
46100;0.838576
46600;0.95569
47100;0.823804
47600;1.01484
48100;1.05103
48600;1.20594
49100;1.25423
49600;1.27229
50100;1.40586
50600;1.23562
51100;1.11132
51600;1.14413
52100;1.10666
52600;0.918151
53100;1.00651
53600;0.971379
54100;0.910067
54600;0.982785
55100;0.935652
55600;0.784954
56100;0.92152
56600;0.773609
57100;0.895173
57600;0.863445
58100;1.00712
58600;0.913065
59100;0.980221
59600;1.09495
60100;1.31645
60600;1.28281
61100;1.34474
61600;1.51169
62100;1.38382
62600;1.28117
63100;1.36415
63600;1.30891
64100;1.25453
64600;1.18976
65100;1.19286
65600;1.29548
66100;1.40752
66600;1.43072
67100;1.36705
67600;1.23991
68100;1.19989
68600;1.13929
69100;1.17409
69600;1.21881
70100;1.20078
70600;1.25496
71100;1.28797
71600;1.36105
72100;1.36267
72600;1.34427
73100;1.38569
73600;1.41668
74100;1.40809
74600;1.39961
75100;1.25596
75600;1.29659
76100;1.25087
76600;1.28153
77100;1.1612
77600;1.10788
78100;1.13887
78600;1.0956
79100;1.09876
79600;0.983352
80100;0.914689
80600;0.927907
81100;0.86938
81600;0.78489
82100;0.568846
82600;0.575053
83100;0.485127
83600;0.465719
84100;0.368884
84600;0.230305
85100;0.127463
85600;0.0597328
86100;0.0265023
86600;0.11097
87100;0.186136
87600;0.277012
88100;0.317435
88600;0.33283
89100;0.315475
89600;0.290214
90100;0.21691
90600;0.23252
91100;0.176268
91600;0.168163
92100;0.191663
92600;0.136543
93100;0.113193
93600;0.0745865
94100;0.105796
94600;0.00626913
95100;0.0527708
95600;0.0911953
96100;0.121669
96600;0.0842175
97100;0.0994661
97600;0.136864
98100;0.307032
98600;0.328278
99100;0.32002
99600;0.253557
