x;y
100;0.75923
600;0.925039
1100;0.930592
1600;0.919584
2100;0.916312
2600;0.918326
3100;0.91969
3600;0.927948
4100;0.930998
4600;0.932817
5100;0.933252
5600;0.93361
6100;0.9382
6600;0.938526
7100;0.938436
7600;0.943526
8100;0.946048
8600;0.94371
9100;0.94652
9600;0.941401
10100;0.945603
10600;0.942492
11100;0.948389
11600;0.949489
12100;0.948334
12600;0.944154
13100;0.943092
13600;0.939797
14100;0.940635
14600;0.939444
15100;0.941279
15600;0.942324
16100;0.943631
16600;0.942335
17100;0.939124
17600;0.93803
18100;0.939744
18600;0.941085
19100;0.941396
19600;0.942092
20100;0.943534
20600;0.94478
21100;0.945594
21600;0.943704
22100;0.943321
22600;0.943882
23100;0.943739
23600;0.9446
24100;0.943579
24600;0.943344
25100;0.944265
25600;0.944333
26100;0.946204
26600;0.946035
27100;0.94684
27600;0.947045
28100;0.948828
28600;0.950365
29100;0.950139
29600;0.953194
30100;0.953017
30600;0.953786
31100;0.954025
31600;0.954671
32100;0.9544
32600;0.952691
33100;0.951667
33600;0.951063
34100;0.951552
34600;0.950588
35100;0.950249
35600;0.949037
36100;0.949164
36600;0.949788
37100;0.949478
37600;0.950848
38100;0.951082
38600;0.950563
39100;0.951732
39600;0.951682
40100;0.952808
40600;0.952939
41100;0.952366
41600;0.951681
42100;0.952255
42600;0.953063
43100;0.953305
43600;0.953961
44100;0.952584
44600;0.951767
45100;0.949981
45600;0.949554
46100;0.949307
46600;0.949571
47100;0.949385
47600;0.949917
48100;0.950167
48600;0.950088
49100;0.950224
49600;0.949671
50100;0.949913
50600;0.950408
51100;0.949972
51600;0.949646
52100;0.949427
52600;0.94956
53100;0.949444
53600;0.949575
54100;0.949848
54600;0.950692
55100;0.951282
55600;0.950921
56100;0.950752
56600;0.951975
57100;0.951204
57600;0.951128
58100;0.950919
58600;0.950623
59100;0.95113
59600;0.950355
60100;0.950725
60600;0.950355
61100;0.950976
61600;0.950567
62100;0.949996
62600;0.949435
63100;0.94938
63600;0.948708
64100;0.948986
64600;0.948895
65100;0.948042
65600;0.948359
66100;0.948394
66600;0.947838
67100;0.947252
67600;0.946559
68100;0.94576
68600;0.946309
69100;0.945864
69600;0.945802
70100;0.945779
70600;0.945607
71100;0.945843
71600;0.946002
72100;0.946378
72600;0.946495
73100;0.946897
73600;0.947223
74100;0.946944
74600;0.9473
75100;0.947094
75600;0.947721
76100;0.947205
76600;0.94779
77100;0.948129
77600;0.948464
78100;0.948794
78600;0.948388
79100;0.94792
79600;0.948084
80100;0.947983
80600;0.948209
81100;0.948012
81600;0.947882
82100;0.947052
82600;0.947183
83100;0.947092
83600;0.947252
84100;0.947504
84600;0.947382
85100;0.947507
85600;0.947416
86100;0.947935
86600;0.948478
87100;0.948474
87600;0.94835
88100;0.947574
88600;0.947338
89100;0.947429
89600;0.947021
90100;0.947374
90600;0.947665
91100;0.947148
91600;0.946779
92100;0.946898
92600;0.946988
93100;0.947666
93600;0.947163
94100;0.947194
94600;0.947308
95100;0.947117
95600;0.946326
96100;0.946197
96600;0.94653
97100;0.946671
97600;0.946355
98100;0.946709
98600;0.946767
99100;0.946534
99600;0.946251
