x;y
100;5.32926
600;5.79123
1100;1.29751
1600;3.94334
2100;2.55743
2600;1.70456
3100;1.0374
3600;1.32551
4100;1.61096
4600;0.38818
5100;0.872599
5600;0.280578
6100;0.0326311
6600;0.21439
7100;0.956145
7600;0.943817
8100;0.52237
8600;1.05238
9100;1.43277
9600;1.57143
10100;1.88846
10600;1.6526
11100;1.88747
11600;2.12599
12100;1.81792
12600;1.75429
13100;1.78015
13600;1.84487
14100;1.82637
14600;1.33451
15100;1.20564
15600;1.22717
16100;1.21293
16600;1.06597
17100;1.18696
17600;1.12783
18100;0.781006
18600;0.855188
19100;1.1867
19600;1.14776
20100;1.38655
20600;1.29083
21100;1.25218
21600;1.22816
22100;1.28048
22600;1.37954
23100;1.23432
23600;1.33017
24100;1.37603
24600;1.44256
25100;1.49539
25600;1.3621
26100;1.29763
26600;1.37105
27100;1.41108
27600;1.46974
28100;1.52632
28600;1.55184
29100;1.54791
29600;1.53475
30100;1.31944
30600;1.2108
31100;1.22152
31600;1.18804
32100;1.07789
32600;1.20068
33100;1.22765
33600;1.16308
34100;1.2142
34600;1.17572
35100;1.02777
35600;1.04749
36100;1.0206
36600;1.09289
37100;1.11841
37600;1.15062
38100;1.20381
38600;1.19099
39100;1.19268
39600;1.20833
40100;1.2927
40600;1.30673
41100;1.31368
41600;1.36043
42100;1.37974
42600;1.22942
43100;1.15334
43600;1.05992
44100;0.981198
44600;0.947742
45100;1.00722
45600;0.949895
46100;0.971981
46600;0.969801
47100;0.991206
47600;0.814175
48100;0.871329
48600;0.841757
49100;0.874885
49600;0.890581
50100;0.839571
50600;0.778615
51100;0.849034
51600;0.778424
52100;0.725129
52600;0.667578
53100;0.69463
53600;0.64878
54100;0.603777
54600;0.661131
55100;0.657077
55600;0.588287
56100;0.589895
56600;0.566989
57100;0.53963
57600;0.527182
58100;0.433846
58600;0.536035
59100;0.542694
59600;0.498083
60100;0.569515
60600;0.52542
61100;0.586386
61600;0.556368
62100;0.531297
62600;0.453493
63100;0.477955
63600;0.519465
64100;0.556003
64600;0.596266
65100;0.601849
65600;0.611572
66100;0.616954
66600;0.613932
67100;0.586169
67600;0.575219
68100;0.596991
68600;0.594202
69100;0.539307
69600;0.636535
70100;0.582121
70600;0.540256
71100;0.510675
71600;0.496992
72100;0.529632
72600;0.558004
73100;0.494985
73600;0.421523
74100;0.356535
74600;0.322142
75100;0.25868
75600;0.287719
76100;0.309091
76600;0.355514
77100;0.354599
77600;0.332264
78100;0.391843
78600;0.411873
79100;0.463188
79600;0.440732
80100;0.480845
80600;0.48607
81100;0.539079
81600;0.638995
82100;0.666795
82600;0.63721
83100;0.571291
83600;0.555894
84100;0.550568
84600;0.469948
85100;0.504275
85600;0.512296
86100;0.526663
86600;0.560068
87100;0.47216
87600;0.496002
88100;0.513281
88600;0.564778
89100;0.544147
89600;0.474248
90100;0.472806
90600;0.459142
91100;0.457799
91600;0.444366
92100;0.437099
92600;0.45685
93100;0.428752
93600;0.392071
94100;0.470658
94600;0.463444
95100;0.532086
95600;0.527525
96100;0.499937
96600;0.481242
97100;0.482723
97600;0.458628
98100;0.431954
98600;0.478641
99100;0.527653
99600;0.520515
